# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=500,gain=40,cFreq=3413100000.0,PW=0.0001,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot
2025-06-06 07:00:37.155135,51,561,243,0,0,0,0,0,0,0,0,0,1usec,230usec,159.17
2025-06-06 07:00:38.155083,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,283.6
2025-06-06 07:00:39.155098,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,318.17
2025-06-06 07:00:40.155155,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,28usec,419.15
2025-06-06 07:00:41.155162,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,24usec,595.16
2025-06-06 07:00:42.155097,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,684.15
2025-06-06 07:00:43.155147,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,759.7
2025-06-06 07:00:44.155070,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,835.16
2025-06-06 07:00:45.155092,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,919.5
2025-06-06 07:00:46.155029,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,24usec,12.4
2025-06-06 07:00:47.155119,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,24usec,145.0
2025-06-06 07:00:48.155271,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,241.17
2025-06-06 07:00:49.155112,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,27usec,325.8
2025-06-06 07:00:50.155255,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,36usec,427.6
2025-06-06 07:00:51.155113,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,498.6
2025-06-06 07:00:52.155119,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,27usec,652.4
2025-06-06 07:00:53.155165,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,737.16
2025-06-06 07:00:54.155114,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,30usec,832.6
2025-06-06 07:00:55.155182,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,26usec,974.4
2025-06-06 07:00:56.155042,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,992.12
2025-06-06 07:00:57.155056,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,89.16
2025-06-06 07:00:58.155262,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,204.6
2025-06-06 07:00:59.155115,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,28usec,338.4
2025-06-06 07:01:00.155134,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,27usec,439.16
