# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=500,gain=50,cFreq=3411100000.0,PW=0.00035000000000000005,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot
2025-06-06 05:56:31.224158,51,577,249,0,0,0,0,0,0,0,0,0,1usec,222usec,158.15
2025-06-06 05:56:32.224216,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,289.1
2025-06-06 05:56:33.224260,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,53usec,395.8
2025-06-06 05:56:34.224215,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,431.6
2025-06-06 05:56:35.224272,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,501.8
2025-06-06 05:56:36.224188,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,619.7
2025-06-06 05:56:37.224288,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,717.16
2025-06-06 05:56:38.224177,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,810.11
2025-06-06 05:56:39.224190,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,980.9
2025-06-06 05:56:40.224248,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,40.5
2025-06-06 05:56:41.224191,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,131.17
2025-06-06 05:56:42.224275,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,253.16
2025-06-06 05:56:43.224106,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,292.7
2025-06-06 05:56:44.224180,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,422.16
2025-06-06 05:56:45.224273,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,544.5
2025-06-06 05:56:46.224240,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,613.5
2025-06-06 05:56:47.224243,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,681.17
2025-06-06 05:56:48.224151,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,863.10
2025-06-06 05:56:49.224205,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,15usec,966.14
2025-06-06 05:56:50.224266,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,983.16
2025-06-06 05:56:51.224182,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,82.17
2025-06-06 05:56:52.224226,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,238.17
2025-06-06 05:56:53.224127,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,284.15
2025-06-06 05:56:54.224167,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,359.15
