# Radar_Char,prf=300,gain=60,cFreq=3413100000.0,PW=0.00045000000000000004,T=20,bw=1000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"warning","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot
2025-06-02 11:56:39.317651,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,855.6
2025-06-02 11:56:40.317700,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,919.15
2025-06-02 11:56:41.317728,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,22usec,45.5
2025-06-02 11:56:42.317711,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,58usec,109.6
2025-06-02 11:56:43.317665,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,22usec,268.6
2025-06-02 11:56:44.317703,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,21usec,359.8
2025-06-02 11:56:45.317698,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,464.7
2025-06-02 11:56:46.317733,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,16usec,554.15
2025-06-02 11:56:47.317669,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,16usec,580.13
2025-06-02 11:56:48.317710,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,15usec,751.7
2025-06-02 11:56:49.317649,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,829.5
2025-06-02 11:56:50.317664,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,940.8
2025-06-02 11:56:51.317624,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,991.6
2025-06-02 11:56:52.317617,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,148.17
2025-06-02 11:56:53.317733,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,239.3
2025-06-02 11:56:54.317600,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,318.4
