time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-24 13:37:23.232366,metric,51,560,240,0,0,0,0,0,0,0,0,0,1usec,233usec,160.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 13:37:24.232465,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,209.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 13:37:25.232334,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,331.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 13:37:26.232434,metric,51,1400,600,1,0,0,0,0.00929,0.0167,0,0,1,4usec,30usec,500.0,5.0kbps,51kbps,4.5ms,5.5ms,4.5ms,0x4601,454.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,4,5.7kbps,12,0,0%,217,72,0,31.6,-4.1,1,26,52kbps,9,0,0%,89,0,8,0,0,0,0,0,0,173ns,n/a,13,4.61ms,5.5ms,4.5ms,n/a,n/a,4.04ms
2025-07-24 13:37:27.232447,metric,51,1400,600,0,0,0,0,0.005,0.0117,0,0,1,7usec,37usec,525.0,7.0kbps,37kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,12,1.0,16,7.3kbps,7,0,0%,3,53,0.004,33.4,-4.6,1,27,37kbps,7,0,0%,40,0,6,0,0,0,0,0,0,192ns,n/a,11,4.5ms,4.5ms,4.21ms,n/a,n/a,4.2ms
2025-07-24 13:37:28.232465,metric,51,1400,600,0,0,0,1,0.005,0.115,0,0,1,8usec,27usec,630.15,10kbps,1.1Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,22,11kbps,7,1,12%,0,14,0.0010000003,34.4,-4.8,1,27,1.1Mbps,69,0,0%,1133,2.01k,2,0,0,0,0,0,0,171ns,n/a,5,4.49ms,4.5ms,4.43ms,4.5ms,4.5ms,4.1ms
2025-07-24 13:37:29.232481,metric,51,1400,600,0,0,0,2,0.00143,0.142,0,0,1,8usec,32usec,738.3,2.0kbps,1.4Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,13,1.0,21,2.8kbps,2,0,0%,0,4,0.0020000003,34.4,-4.8,1,27,1.4Mbps,85,0,0%,1429,0,1,0,0,0,0,0,0,188ns,n/a,11,4.49ms,4.5ms,4.45ms,4ms,4ms,4ms
2025-07-24 13:37:30.232361,metric,51,1400,600,0,0,3,0,0.0864,0.0433,0,0,1,8usec,42usec,882.5,3.6Mbps,158kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,25,3.6Mbps,113,2,1%,0,4482,0.04199996,32.5,-4.7,1,27,159kbps,24,2,7%,209,0,17,0,0,0,0,0,-0.19800003,209ns,n/a,7,4.5ms,4.5ms,4.38ms,4.33ms,4.5ms,3.99ms
2025-07-24 13:37:31.232531,metric,51,1400,600,0,0,31,0,0.669,0.0983,0,0,1,12usec,38usec,934.3,36Mbps,435kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,36Mbps,912,22,2%,93k,43599,0.008999966,33.0,-4.4,1,27,436kbps,59,0,0%,449,1.04k,27,0,0,0,0,0,-0.19800003,213ns,n/a,9,4.46ms,4.5ms,4.36ms,4.09ms,4.5ms,3.95ms
2025-07-24 13:37:32.232524,metric,51,1400,600,0,0,49,0,1,0.117,0,0,1,13usec,43usec,1011.12,58Mbps,496kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1386,14,1%,460k,69142,-0.0020000292,32.9,-4.4,1,27,497kbps,69,0,0%,519,535,26,0,0,0,0,0,-0.19800003,218ns,n/a,9,4.43ms,4.5ms,4.23ms,4.03ms,4.5ms,3.95ms
